doi,status_code,final_url,domain,resolved,redirect_count,redirect_chain,error
10.1016/j.jconrel.2025.114267,200,https://linkinghub.elsevier.com/retrieve/pii/S016836592500879X,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2025.114267 -> https://linkinghub.elsevier.com/retrieve/pii/S016836592500879X,
10.7150/thno.118976,200,https://www.thno.org/v15p9643.htm,thno.org,True,1,https://doi.org/10.7150/thno.118976 -> https://www.thno.org/v15p9643.htm,
10.3390/pharmaceutics17091194,200,https://www.mdpi.com/1999-4923/17/9/1194,mdpi.com,True,1,https://doi.org/10.3390/pharmaceutics17091194 -> https://www.mdpi.com/1999-4923/17/9/1194,
10.1039/d5ay01758k,200,https://pubs.rsc.org/en/content/articlelanding/2026/ay/d5ay01758k,pubs.rsc.org,True,1,https://doi.org/10.1039/d5ay01758k -> https://pubs.rsc.org/en/content/articlelanding/2026/ay/d5ay01758k,
10.1021/acs.nanolett.5c03793,403,https://pubs.acs.org/doi/10.1021/acs.nanolett.5c03793,pubs.acs.org,True,1,https://doi.org/10.1021/acs.nanolett.5c03793 -> https://pubs.acs.org/doi/10.1021/acs.nanolett.5c03793,
10.1126/sciadv.ady6460,403,https://www.science.org/doi/10.1126/sciadv.ady6460,science.org,True,1,https://doi.org/10.1126/sciadv.ady6460 -> https://www.science.org/doi/10.1126/sciadv.ady6460,
10.1016/j.jconrel.2025.114258,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365925008703,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2025.114258 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365925008703,
10.1101/2025.09.15.676190,403,https://www.biorxiv.org/lookup/doi/10.1101/2025.09.15.676190,biorxiv.org,True,1,https://doi.org/10.1101/2025.09.15.676190 -> https://www.biorxiv.org/lookup/doi/10.1101/2025.09.15.676190,
10.1002/smll.202506812,403,https://onlinelibrary.wiley.com/doi/10.1002/smll.202506812,onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/smll.202506812 -> https://onlinelibrary.wiley.com/doi/10.1002/smll.202506812,
10.1039/d5tb02579f,200,https://pubs.rsc.org/en/content/articlelanding/2026/tb/d5tb02579f,pubs.rsc.org,True,1,https://doi.org/10.1039/d5tb02579f -> https://pubs.rsc.org/en/content/articlelanding/2026/tb/d5tb02579f,
10.1021/acs.jpcb.5c04980,403,https://pubs.acs.org/doi/10.1021/acs.jpcb.5c04980,pubs.acs.org,True,1,https://doi.org/10.1021/acs.jpcb.5c04980 -> https://pubs.acs.org/doi/10.1021/acs.jpcb.5c04980,
10.1016/j.biomaterials.2025.123698,200,https://linkinghub.elsevier.com/retrieve/pii/S0142961225006179,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.biomaterials.2025.123698 -> https://linkinghub.elsevier.com/retrieve/pii/S0142961225006179,
10.1002/adma.202504830,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504830,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adma.202504830 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202504830,
10.1021/acs.bioconjchem.5c00303,403,https://pubs.acs.org/doi/10.1021/acs.bioconjchem.5c00303,pubs.acs.org,True,1,https://doi.org/10.1021/acs.bioconjchem.5c00303 -> https://pubs.acs.org/doi/10.1021/acs.bioconjchem.5c00303,
10.1016/j.ijpharm.2025.126183,200,https://linkinghub.elsevier.com/retrieve/pii/S0378517325010208,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ijpharm.2025.126183 -> https://linkinghub.elsevier.com/retrieve/pii/S0378517325010208,
10.1080/17435889.2025.2555507,403,https://www.tandfonline.com/doi/full/10.1080/17435889.2025.2555507,tandfonline.com,True,1,https://doi.org/10.1080/17435889.2025.2555507 -> https://www.tandfonline.com/doi/full/10.1080/17435889.2025.2555507,
10.1016/j.jcis.2025.139025,200,https://linkinghub.elsevier.com/retrieve/pii/S0021979725024178,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jcis.2025.139025 -> https://linkinghub.elsevier.com/retrieve/pii/S0021979725024178,
10.1038/s41467-025-63651-4,200,https://www.nature.com/articles/s41467-025-63651-4,nature.com,True,1,https://doi.org/10.1038/s41467-025-63651-4 -> https://www.nature.com/articles/s41467-025-63651-4,
10.1002/adhm.202502455,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202502455,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adhm.202502455 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202502455,
10.1016/j.jconrel.2025.114147,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365925007588,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2025.114147 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365925007588,
10.1038/s41541-025-01263-1,200,https://www.nature.com/articles/s41541-025-01263-1,nature.com,True,1,https://doi.org/10.1038/s41541-025-01263-1 -> https://www.nature.com/articles/s41541-025-01263-1,
10.1016/j.virs.2025.09.001,200,https://linkinghub.elsevier.com/retrieve/pii/S1995820X25001270,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.virs.2025.09.001 -> https://linkinghub.elsevier.com/retrieve/pii/S1995820X25001270,
10.1021/jacs.5c08376,403,https://pubs.acs.org/doi/10.1021/jacs.5c08376,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c08376 -> https://pubs.acs.org/doi/10.1021/jacs.5c08376,
10.1021/acs.accounts.5c00522,403,https://pubs.acs.org/doi/10.1021/acs.accounts.5c00522,pubs.acs.org,True,1,https://doi.org/10.1021/acs.accounts.5c00522 -> https://pubs.acs.org/doi/10.1021/acs.accounts.5c00522,
10.3390/vaccines13080855,200,https://www.mdpi.com/2076-393X/13/8/855,mdpi.com,True,1,https://doi.org/10.3390/vaccines13080855 -> https://www.mdpi.com/2076-393X/13/8/855,
10.3390/pharmaceutics17080950,200,https://www.mdpi.com/1999-4923/17/8/950,mdpi.com,True,1,https://doi.org/10.3390/pharmaceutics17080950 -> https://www.mdpi.com/1999-4923/17/8/950,
10.1039/d5ob01888a,200,https://pubs.rsc.org/en/content/articlelanding/2026/ob/d5ob01888a,pubs.rsc.org,True,1,https://doi.org/10.1039/d5ob01888a -> https://pubs.rsc.org/en/content/articlelanding/2026/ob/d5ob01888a,
10.1021/acsnano.5c07748,403,https://pubs.acs.org/doi/10.1021/acsnano.5c07748,pubs.acs.org,True,1,https://doi.org/10.1021/acsnano.5c07748 -> https://pubs.acs.org/doi/10.1021/acsnano.5c07748,
10.1016/j.colsurfb.2025.115058,200,https://linkinghub.elsevier.com/retrieve/pii/S092777652500565X,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.colsurfb.2025.115058 -> https://linkinghub.elsevier.com/retrieve/pii/S092777652500565X,
